中国海诚工程科技股份有限公司,0
东港股份有限公司,42
深圳市科陆电子科技股份有限公司,958
天邦食品股份有限公司,0
深圳市沃尔核材股份有限公司,0
利欧集团股份有限公司,69
河南恒星科技股份有限公司,160
广宇集团股份有限公司,0
天津普林电路股份有限公司,178
深圳顺络电子股份有限公司,448
深圳拓邦股份有限公司,0
东华工程科技股份有限公司,181
宁波银行股份有限公司,0
荣盛房地产发展股份有限公司,0
北京北纬通信科技股份有限公司,0
西部金属材料股份有限公司,0
广州广电运通金融电子股份有限公司,0
报喜鸟控股股份有限公司,0
江西正邦科技股份有限公司,0
江苏常铝铝业股份有限公司,65
深圳市远望谷信息技术股份有限公司,365
桂林莱茵生物科技股份有限公司,0
深圳市惠程电气股份有限公司,0
深圳市芭田生态工程股份有限公司,0
游族网络股份有限公司,0
东方时代网络传媒股份有限公司,1
广州御银科技股份有限公司,0
上海延华智能科技,6
纳思达股份有限公司,0
广东广州日报传媒股份有限公司,0
深圳市怡亚通供应链股份有限公司,1
上海海得控制系统股份有限公司,0
天水华天科技股份有限公司,0
中国全聚德,0
广州市广百股份有限公司,0
巴士在线股份有限公司,0
深圳劲嘉集团股份有限公司,0
融捷股份有限公司,0
武汉凡谷电子技术股份有限公司,246
上海二三四五网络控股集团股份有限公司,0
浙江方正电机股份有限公司,50
江苏九鼎新材料股份有限公司,0
新疆金风科技股份有限公司,0
大连华锐重工集团股份有限公司,0
新疆准东石油技术股份有限公司,0
广州达意隆包装机械股份有限公司,0
深圳市特尔佳科技股份有限公司,82
浙江大立科技股份有限公司,63
深圳诺普信农化股份有限公司,0
三全食品股份有限公司,0
合力泰科技股份有限公司,0
深圳市拓日新能源科技股份有限公司,190
大连天宝绿色食品股份有限公司,0
江苏鱼跃医疗设备股份有限公司,0
三力士股份有限公司,35
濮阳濮耐高温材料,0
安徽江南化工股份有限公司,110
鸿博股份有限公司,42
科大讯飞股份有限公司,321
奥维通信股份有限公司,0
启明信息技术股份有限公司,0
厦门安妮股份有限公司,0
浙江大华技术股份有限公司,0
山东恒邦冶炼股份有限公司,0
深圳市天威视讯股份有限公司,0
奥特佳新能源科技股份有限公司,0
广东威华股份有限公司,0
歌尔股份有限公司,1420
九阳股份有限公司,0
深圳市通产丽星股份有限公司,359
杭州滨江房产集团股份有限公司,0
威海华东数控股份有限公司,0
中山大洋电机股份有限公司,0
联化科技股份有限公司,93
步步高商业连锁股份有限公司,0
上海莱士血液制品股份有限公司,0
四川川大智胜软件股份有限公司,247
烟台泰和新材料股份有限公司,0
苏州海陆重工股份有限公司,100
利尔化学股份有限公司,0
拓维信息系统股份有限公司,0
江苏恩华药业股份有限公司,114
浙江大东南股份有限公司,4
新华都购物广场股份有限公司,0
成都卫士通信息产业股份有限公司,272
上海美特斯邦威服饰股份有限公司,0
北京东方雨虹防水技术股份有限公司,0
浙江水晶光电科技股份有限公司,0
浙江万马股份有限公司,0
上海神开石油化工装备股份有限公司,432
北京久其软件股份有限公司,0
武汉光迅科技股份有限公司,0
深圳世联行地产顾问股份有限公司,0
西藏奇正藏药股份有限公司,94
深圳市宇顺电子股份有限公司,143
苏州中科创新型材料股份有限公司,0
星期六股份有限公司,0
奥飞娱乐股份有限公司,0
罗莱生活科技股份有限公司,0
深圳信立泰药业股份有限公司,163
河南辉煌科技股份有限公司,0
湖南博云新材料股份有限公司,0
深圳齐心集团股份有限公司,0
中建西部建设股份有限公司,54
美盈森集团股份有限公司,73
江苏洋河酒厂股份有限公司,198
南国置业股份有限公司,0
中科云网科技集团股份有限公司,0
新疆北新路桥集团股份有限公司,22
威创集团股份有限公司,0
江苏中利集团股份有限公司,0
北京东方园林环境股份有限公司,0
广东海大集团股份有限公司,97
成都三泰控股集团股份有限公司,33
深圳日海通讯技术股份有限公司,0
焦点科技股份有限公司,217
深圳键桥通讯技术股份有限公司,0
广东众生药业股份有限公司,94
浙江久立特材科技股份有限公司,0
珠海市乐通化工股份有限公司,30
上海普利特复合材料股份有限公司,436
深圳市富安娜家居用品股份有限公司,51
皇氏集团股份有限公司,0
山东得利斯食品股份有限公司,9
浙江仙琚制药股份有限公司,92
苏州罗普斯金铝业股份有限公司,0
深圳市英威腾电气股份有限公司,706
厦门科华恒盛股份有限公司,0
人人乐连锁商业集团股份有限公司,0
天津赛象科技股份有限公司,264
积成电子股份有限公司,260
格林美股份有限公司,0
深圳市新纶科技股份有限公司,0
慈文传媒股份有限公司,0
广东潮宏基实业股份有限公司,170
北京科锐配电自动化股份有限公司,0
顺丰控股股份有限公司,0
烟台杰瑞石油服务集团股份有限公司,93
深圳赫美集团股份有限公司,0
汉王科技股份有限公司,0
杭州中恒电气股份有限公司,0
台海玛努尔核电设备股份有限公司,20
康力电梯股份有限公司,1033
太极计算机股份有限公司,15
深圳市卓翼科技股份有限公司,72
浙江伟星新型建材股份有限公司,378
北京千方科技股份有限公司,8
浙江亚厦装饰股份有限公司,776
崇义章源钨业股份有限公司,93
南京科远自动化集团股份有限公司,158
蓝帆医疗股份有限公司,18
北京合众思壮科技股份有限公司,43
苏州东山精密制造股份有限公司,294
北京大北农科技集团股份有限公司,763
